Gene,Gene name,TLS23A/AGGGTA,TLS23A/GTTAGG,TLS23B/AGGGTA,TLS23B/GTTAGG,TLS23D/AGGGTA,TLS23D/GTTAGG,TLS23E/AGGGTA,TLS23E/GTTAGG,TLS23F/AGGGTA,TLS23F/GTTAGG
ENSMUSG00000102465.2,Gm38198,3,1,8,0,1,0,7,0,6,1
ENSMUSG00000102659.2,Gm37077,5,0,2,3,0,0,3,1,0,0
ENSMUSG00000103924.2,Gm37895,2,0,5,0,1,0,5,0,0,0
ENSMUSG00000104132.2,Gm36952,1,0,2,1,1,0,0,1,0,1
ENSMUSG00000102747.2,Gm37602,2,0,2,0,1,0,3,0,2,0
ENSMUSG00000048874.16,Phf3,29,4,30,14,14,11,31,7,24,6
ENSMUSG00000104315.2,Gm37906,2,0,0,0,1,0,0,1,0,0
ENSMUSG00000026058.12,Khdrbs2,2,0,2,1,0,0,5,0,3,0
ENSMUSG00000104433.2,Gm37426,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026134.12,Prim2,1,0,0,1,4,0,2,1,2,0
ENSMUSG00000004768.15,Rab23,5,0,1,0,3,0,2,0,1,0
ENSMUSG00000042215.9,Bag2,1,4,3,1,3,0,2,1,3,0
ENSMUSG00000042197.14,Zfp451,28,4,28,11,13,6,31,2,21,3
ENSMUSG00000042182.17,Bend6,19,5,11,6,13,1,14,10,9,1
ENSMUSG00000026131.21,Dst,84,13,70,44,46,10,72,12,42,14
ENSMUSG00000099382.2,Gm28631,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000042111.10,Ccdc115,1,0,2,0,0,0,3,1,0,1
ENSMUSG00000026127.14,Imp4,5,3,4,4,2,2,12,4,4,1
ENSMUSG00000102612.2,Gm37845,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000037509.22,Arhgef4,9,8,9,9,7,3,12,3,13,1
ENSMUSG00000037503.13,Fam168b,34,8,42,23,34,12,31,8,34,7
ENSMUSG00000026123.12,Plekhb2,45,22,57,23,56,20,95,21,55,8
ENSMUSG00000102434.2,Gm38049,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000045216.8,Hs6st1,9,5,16,5,12,4,11,3,10,1
ENSMUSG00000102202.2,Gm33280,1,0,0,0,0,0,1,0,1,0
ENSMUSG00000037470.15,Uggt1,11,5,11,9,5,7,15,4,10,2
ENSMUSG00000037447.17,Arid5a,1,0,8,0,3,1,4,1,3,1
ENSMUSG00000010453.13,Kansl3,11,4,14,7,9,5,19,6,18,2
ENSMUSG00000037432.16,Fer1l5,0,2,1,0,2,0,2,1,0,0
ENSMUSG00000001143.14,Lman2l,8,1,10,8,4,1,13,3,7,4
ENSMUSG00000037408.11,Cnnm4,9,3,9,4,8,3,15,3,6,3
ENSMUSG00000104316.2,Gm37909,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000001138.14,Cnnm3,9,3,13,5,5,2,11,4,12,2
ENSMUSG00000067653.13,Ankrd23,2,0,2,0,0,0,0,0,0,0
ENSMUSG00000079610.10,Ankrd39,1,0,2,1,0,0,1,0,1,0
ENSMUSG00000026121.14,Sema4c,1,2,2,1,2,2,3,0,2,0
ENSMUSG00000087589.4,D430040D24Rik,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000061518.12,Cox5b,5,2,8,3,0,1,5,2,9,1
ENSMUSG00000037351.10,Actr1b,13,7,18,2,7,3,15,4,17,4
ENSMUSG00000026117.11,Zap70,2,0,3,0,3,0,2,0,2,1
ENSMUSG00000026116.12,Tmem131,25,10,30,23,34,5,39,8,21,7
ENSMUSG00000103159.2,F830112A20Rik,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000026113.18,Inpp4a,37,9,41,31,28,12,49,6,31,6
ENSMUSG00000026112.8,Coa5,19,4,11,5,10,1,22,6,8,1
ENSMUSG00000026111.16,Unc50,4,1,1,3,0,0,5,1,2,1
ENSMUSG00000026110.16,Mgat4a,10,0,17,5,7,1,8,0,4,2
ENSMUSG00000103948.2,4930594C11Rik,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026090.17,Cracdl,1,0,3,0,0,0,0,0,1,0
ENSMUSG00000060771.16,Tsga10,4,3,5,1,1,1,4,0,1,0
ENSMUSG00000037216.6,Lipt1,2,0,0,0,0,0,1,0,3,0
ENSMUSG00000026087.12,Mrpl30,2,1,1,0,1,0,2,0,0,2
ENSMUSG00000058407.13,Txndc9,3,2,3,0,1,1,2,0,5,0
ENSMUSG00000026083.13,Eif5b,1,6,8,4,5,0,12,2,6,2
ENSMUSG00000026082.12,Rev1,2,1,6,2,2,0,1,0,0,0
ENSMUSG00000103804.2,Gm37062,2,0,3,0,1,0,0,1,0,0
ENSMUSG00000037138.19,Aff3,24,7,30,19,15,7,41,6,36,2
ENSMUSG00000087131.8,Gm16152,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000048814.12,Lonrf2,58,24,63,38,51,20,90,22,63,12
ENSMUSG00000026080.14,Chst10,14,4,9,5,5,4,17,4,8,0
ENSMUSG00000026078.11,Pdcl3,1,0,4,1,1,1,1,0,3,1
ENSMUSG00000026077.16,Npas2,1,0,8,2,6,1,2,1,2,1
ENSMUSG00000003134.11,Tbc1d8,6,1,6,4,5,1,8,6,6,1
ENSMUSG00000003135.16,Cnot11,12,3,4,6,2,0,10,3,8,0
ENSMUSG00000048234.14,Rnf149,1,0,1,0,1,1,4,0,0,0
ENSMUSG00000050967.6,Creg2,5,2,2,5,3,1,5,2,2,2
ENSMUSG00000026074.16,Map4k4,15,3,21,8,15,7,22,4,17,4
ENSMUSG00000041945.13,Mfsd9,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000100832.2,Gm29260,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000100178.2,Gm5267,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000101299.3,Gm28175,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000060679.15,Mrps9,0,1,3,0,2,0,4,2,0,0
ENSMUSG00000041907.10,Gpr45,3,1,2,1,0,0,1,1,2,1
ENSMUSG00000070939.10,Tgfbrap1,7,2,7,6,12,4,15,4,10,3
ENSMUSG00000010290.8,AI597479,4,0,2,4,4,1,4,3,4,1
ENSMUSG00000066877.12,Nck2,3,0,5,1,1,3,2,2,5,2
ENSMUSG00000057363.13,Uxs1,2,0,3,2,0,1,0,0,0,0
ENSMUSG00000041763.15,Tpp2,8,3,7,3,11,3,11,0,5,1
ENSMUSG00000047343.5,Mettl21c,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000026047.14,Poglut2,0,1,1,0,0,1,0,1,0,0
ENSMUSG00000041684.12,Bivm,4,0,3,2,4,1,9,0,1,1
ENSMUSG00000026048.17,Ercc5,3,0,5,6,5,0,5,1,0,1
ENSMUSG00000056870.10,Gulp1,3,2,3,2,3,0,4,1,4,0
ENSMUSG00000026043.19,Col3a1,2,0,0,0,1,0,2,1,0,0
ENSMUSG00000026042.17,Col5a2,1,0,0,0,2,0,3,0,0,0
ENSMUSG00000025995.17,Wdr75,4,3,4,0,1,0,2,3,0,1
ENSMUSG00000041144.13,Dnah7b,3,0,0,0,1,0,0,0,1,0
ENSMUSG00000101262.2,Gm8326,1,0,0,0,0,0,1,0,0,1
ENSMUSG00000025986.7,Slc39a10,5,3,11,4,6,0,9,1,5,1
ENSMUSG00000100213.2,Gm28151,0,1,1,0,0,0,0,0,2,0
ENSMUSG00000100033.2,Gm8337,3,0,0,0,1,0,0,1,0,0
ENSMUSG00000045954.8,Cavin2,1,1,0,0,1,0,1,0,0,0
ENSMUSG00000018417.15,Myo1b,13,0,7,2,6,2,10,0,4,0
ENSMUSG00000100313.2,Gm28323,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000026104.15,Stat1,2,1,1,0,0,0,1,1,2,0
ENSMUSG00000026103.15,Gls,33,15,57,24,38,7,31,7,32,10
ENSMUSG00000002881.15,Nab1,2,1,1,2,4,0,3,1,3,1
ENSMUSG00000043015.16,Nemp2,3,0,2,1,1,0,3,0,1,1
ENSMUSG00000041439.16,Mfsd6,16,8,12,6,9,7,15,7,11,8
ENSMUSG00000026102.10,Inpp1,8,2,11,4,2,0,6,2,5,0
ENSMUSG00000041426.13,Hibch,1,0,3,1,1,1,1,0,1,0
ENSMUSG00000043629.13,1700019D03Rik,1,0,1,0,0,0,1,0,0,1
ENSMUSG00000026098.14,Pms1,1,1,0,1,0,0,3,1,1,0
ENSMUSG00000026096.15,Osgepl1,2,1,3,2,1,0,7,0,0,2
ENSMUSG00000026095.16,Asnsd1,1,0,0,0,0,0,0,0,1,0
ENSMUSG00000026094.15,Stk17b,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000042807.16,Hecw2,6,1,9,6,4,1,11,2,9,0
ENSMUSG00000041303.8,Gtf3c3,6,0,5,0,7,2,6,2,4,1
ENSMUSG00000073678.5,Pgap1,7,1,31,8,4,6,12,1,13,2
ENSMUSG00000052331.15,Ankrd44,8,1,7,3,4,1,5,1,5,1
ENSMUSG00000025982.14,Sf3b1,48,10,47,14,35,8,43,7,25,7
ENSMUSG00000025981.14,Coq10b,1,1,4,1,4,0,3,2,1,0
ENSMUSG00000089670.2,Gm16581,1,0,1,1,1,0,3,0,2,1
ENSMUSG00000025979.14,Mob4,2,1,8,6,4,2,3,3,4,1
ENSMUSG00000025978.15,Rftn2,1,0,0,0,2,0,2,0,1,0
ENSMUSG00000046994.10,Mars2,4,1,3,1,4,0,5,0,1,0
ENSMUSG00000102145.2,Gm38056,2,1,4,3,2,1,3,0,0,0
ENSMUSG00000038349.11,Plcl1,12,2,12,5,14,1,16,0,11,2
ENSMUSG00000038331.16,Satb2,4,3,2,2,3,0,5,0,3,0
ENSMUSG00000101429.2,BC055402,0,1,1,2,2,2,1,1,0,0
ENSMUSG00000038323.4,1700066M21Rik,1,0,2,1,0,0,3,0,0,0
ENSMUSG00000025971.7,Maip1,1,1,1,0,1,0,1,0,1,0
ENSMUSG00000038305.16,Spats2l,4,1,1,1,3,2,6,1,3,2
ENSMUSG00000054770.17,Kctd18,1,1,4,3,1,1,0,0,0,1
ENSMUSG00000051223.15,Bzw1,15,8,31,19,22,7,28,9,25,6
ENSMUSG00000026034.18,Clk1,11,5,21,8,11,1,5,1,11,0
ENSMUSG00000026035.16,Ppil3,2,1,0,1,2,0,0,0,0,0
ENSMUSG00000026036.18,Nif3l1,3,0,11,3,6,2,6,3,3,0
ENSMUSG00000026037.15,Orc2,2,0,0,2,0,0,1,0,2,0
ENSMUSG00000038174.15,Fam126b,23,5,36,15,20,4,33,5,23,4
ENSMUSG00000026031.16,Cflar,5,4,6,2,4,1,8,0,3,0
ENSMUSG00000026029.15,Casp8,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000026028.13,Trak2,18,9,20,10,19,4,34,8,20,3
ENSMUSG00000026027.14,Stradb,5,1,8,3,2,0,9,1,4,0
ENSMUSG00000038079.15,Tmem237,1,3,0,0,3,1,8,1,2,1
ENSMUSG00000079550.10,Mpp4,9,3,9,20,11,8,20,5,7,6
ENSMUSG00000026024.15,Als2,3,1,9,2,2,2,8,3,6,1
ENSMUSG00000101586.2,Gm29017,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000041075.9,Fzd7,2,0,3,1,2,0,0,0,2,0
ENSMUSG00000099811.7,Gm28411,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000047361.17,Gm973,1,0,0,0,1,0,1,0,1,0
ENSMUSG00000026020.10,Nop58,5,4,4,1,8,3,7,1,3,1
ENSMUSG00000067336.7,Bmpr2,59,14,90,38,49,17,80,15,46,6
ENSMUSG00000041040.13,Fam117b,28,10,38,12,23,4,19,6,28,2
ENSMUSG00000103696.2,Gm37531,1,1,3,1,0,0,1,0,0,0
ENSMUSG00000026018.13,Ica1l,2,2,2,2,3,0,1,0,2,1
ENSMUSG00000026019.16,Wdr12,4,0,3,2,3,1,7,0,1,0
ENSMUSG00000026017.14,Carf,6,1,7,6,8,2,5,2,4,0
ENSMUSG00000073664.12,Nbeal1,18,7,22,6,6,3,13,0,10,2
ENSMUSG00000049439.14,Cyp20a1,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000026782.16,Abi2,38,14,73,35,33,12,47,9,41,5
ENSMUSG00000026014.16,Raph1,23,3,27,13,10,6,27,6,14,2
ENSMUSG00000052062.15,Pard3b,2,2,5,3,1,0,0,1,4,1
ENSMUSG00000025969.16,Nrp2,9,0,24,4,9,4,18,2,12,0
ENSMUSG00000040865.16,Ino80d,22,11,46,12,16,8,35,5,17,1
ENSMUSG00000101599.2,Gm20342,13,1,17,6,6,1,4,1,3,1
ENSMUSG00000025968.17,Ndufs1,8,2,16,3,6,1,10,1,8,1
ENSMUSG00000084799.8,Ino80dos,1,0,2,0,1,0,0,0,1,0
ENSMUSG00000025967.17,Eef1b2,3,1,1,0,3,2,5,0,3,0
ENSMUSG00000027520.17,Zdbf2,9,4,9,17,10,6,11,1,14,4
ENSMUSG00000025964.16,Adam23,13,7,20,7,12,3,15,6,16,1
ENSMUSG00000025962.16,Fastkd2,1,0,1,2,1,0,1,0,1,0
ENSMUSG00000025959.14,Klf7,5,2,6,6,8,1,14,6,4,2
ENSMUSG00000025958.15,Creb1,12,5,20,9,11,4,21,5,8,3
ENSMUSG00000025956.11,Mettl21a,0,1,1,1,1,0,0,1,0,0
ENSMUSG00000045005.10,Fzd5,18,6,31,15,30,7,29,4,16,6
ENSMUSG00000102140.2,Gm38058,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000051344.14,Plekhm3,19,3,30,12,23,6,40,9,20,3
ENSMUSG00000044816.11,D630023F18Rik,0,1,0,0,1,0,1,0,0,0
ENSMUSG00000025950.17,Idh1,5,1,11,10,9,5,20,4,9,2
ENSMUSG00000025949.17,Pikfyve,13,2,12,8,7,2,14,6,11,2
ENSMUSG00000015222.19,Map2,141,48,112,66,99,37,166,56,107,35
ENSMUSG00000055567.19,Unc80,60,32,82,47,52,19,69,33,47,10
ENSMUSG00000103375.2,Gm37181,1,1,2,0,0,0,0,0,1,0
ENSMUSG00000026005.16,Rpe,2,0,1,1,2,4,2,3,2,0
ENSMUSG00000026004.16,Kansl1l,6,0,0,5,2,0,2,1,1,1
ENSMUSG00000102559.2,Gm37570,1,0,2,0,2,0,1,0,0,0
ENSMUSG00000102374.2,Gm38387,2,0,1,1,1,0,0,1,1,0
ENSMUSG00000102776.2,Gm38162,1,0,3,1,0,0,1,0,0,0
ENSMUSG00000082057.2,Gm15789,1,1,1,1,0,0,0,0,0,0
ENSMUSG00000103756.2,Gm37285,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026003.6,Acadl,2,0,1,1,1,1,2,0,0,0
ENSMUSG00000026000.17,Lancl1,12,4,12,7,8,2,18,7,8,2
ENSMUSG00000062209.16,Erbb4,11,4,9,2,5,2,9,2,12,1
ENSMUSG00000099804.2,Gm28497,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000025997.14,Ikzf2,3,1,1,4,3,3,5,1,1,0
ENSMUSG00000045648.16,Vwc2l,8,4,4,1,5,0,8,2,7,0
ENSMUSG00000026196.8,Bard1,1,0,0,0,0,0,2,1,0,0
ENSMUSG00000026192.14,Atic,2,2,5,0,4,1,4,0,5,1
ENSMUSG00000026193.16,Fn1,15,7,19,9,35,6,19,3,16,1
ENSMUSG00000039395.9,Mreg,13,2,9,0,5,3,5,0,3,1
ENSMUSG00000026188.12,Tmem169,5,1,3,2,4,0,1,2,4,0
ENSMUSG00000026187.10,Xrcc5,4,0,1,1,2,1,4,2,2,0
ENSMUSG00000039372.6,Marchf4,18,2,15,8,12,6,23,4,22,1
ENSMUSG00000039354.17,Smarcal1,13,4,13,9,11,2,16,4,16,1
ENSMUSG00000046330.11,Rpl37a,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000039323.19,Igfbp2,0,3,3,0,2,1,7,0,1,0
ENSMUSG00000026185.9,Igfbp5,55,11,44,31,40,14,57,14,36,4
ENSMUSG00000055322.17,Tns1,11,8,21,11,15,4,17,6,15,1
ENSMUSG00000006304.15,Arpc2,6,1,6,0,2,4,11,0,8,1
ENSMUSG00000006299.14,Aamp,6,1,8,11,13,2,24,9,22,1
ENSMUSG00000006301.18,Tmbim1,5,1,8,4,5,2,5,2,1,0
ENSMUSG00000026179.15,Pnkd,17,8,14,8,18,6,24,7,21,5
ENSMUSG00000026176.14,Ctdsp1,2,1,3,3,2,0,1,1,4,0
ENSMUSG00000033364.14,Usp37,12,1,16,5,7,3,15,6,9,2
ENSMUSG00000026174.10,Cnot9,15,0,14,8,6,4,8,3,6,0
ENSMUSG00000026135.18,Zfp142,14,0,16,9,14,1,15,3,15,2
ENSMUSG00000026172.13,Bcs1l,2,1,0,1,1,0,3,2,3,0
ENSMUSG00000026171.13,Rnf25,3,2,6,3,6,2,4,3,9,3
ENSMUSG00000033276.19,Stk36,1,0,3,1,0,0,2,1,1,0
ENSMUSG00000033257.15,Ttll4,7,2,6,2,5,0,4,0,7,0
ENSMUSG00000090071.5,Cdk5r2,25,9,20,13,42,10,36,10,35,8
ENSMUSG00000033159.15,Cnppd1,4,1,3,1,3,0,1,3,0,2
ENSMUSG00000049339.17,Retreg2,36,12,41,19,30,16,52,11,32,7
ENSMUSG00000026197.13,Zfand2b,1,0,1,2,4,1,0,0,0,0
ENSMUSG00000033124.17,Atg9a,12,2,13,4,10,4,23,6,16,6
ENSMUSG00000026199.18,Ankzf1,1,0,1,1,0,0,1,0,0,0
ENSMUSG00000026200.14,Glb1l,1,0,2,0,1,0,2,0,0,0
ENSMUSG00000026201.13,Stk16,6,0,4,2,3,0,4,1,3,1
ENSMUSG00000026202.14,Tuba4a,12,2,4,6,9,0,12,4,16,5
ENSMUSG00000026203.17,Dnajb2,12,3,4,4,12,1,14,1,7,3
ENSMUSG00000026204.16,Ptprn,48,33,48,62,31,52,79,39,57,18
ENSMUSG00000033061.16,Resp18,2,4,0,8,3,2,3,3,0,2
ENSMUSG00000026209.16,Dnpep,7,1,2,2,3,1,9,3,7,0
ENSMUSG00000026207.17,Speg,9,3,10,10,13,6,12,1,16,2
ENSMUSG00000033021.17,Gmppa,3,2,6,1,3,2,11,2,4,1
ENSMUSG00000033007.16,Asic4,5,1,9,2,4,2,13,1,9,1
ENSMUSG00000032997.17,Chpf,7,2,10,6,6,2,16,1,8,0
ENSMUSG00000051703.15,Tmem198,2,1,4,4,2,1,2,2,5,1
ENSMUSG00000032968.5,Inha,3,3,1,0,2,2,4,0,2,0
ENSMUSG00000026213.16,Stk11ip,6,1,8,2,6,2,8,1,12,0
ENSMUSG00000006576.17,Slc4a3,27,7,13,8,26,8,32,4,20,5
ENSMUSG00000026235.15,Epha4,8,2,9,7,9,2,16,4,8,0
ENSMUSG00000032908.10,Sgpp2,7,0,2,2,5,2,2,2,5,1
ENSMUSG00000026245.17,Farsb,2,2,1,2,4,2,12,0,5,0
ENSMUSG00000079470.9,Utp14b,25,6,64,14,20,5,28,2,16,1
ENSMUSG00000032883.16,Acsl3,22,7,87,21,41,8,50,5,32,5
ENSMUSG00000050711.8,Scg2,40,24,54,28,72,20,89,15,61,16
ENSMUSG00000102235.2,Gm37886,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000054702.15,Ap1s3,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000073643.12,Wdfy1,8,2,7,6,9,2,15,5,6,2
ENSMUSG00000026248.10,Mrpl44,1,0,1,1,2,1,1,0,1,0
ENSMUSG00000026249.11,Serpine2,3,1,4,2,1,0,7,0,4,0
ENSMUSG00000004364.15,Cul3,13,4,22,18,21,7,25,14,30,5
ENSMUSG00000038608.16,Dock10,6,1,2,1,5,0,5,0,2,0
ENSMUSG00000104488.2,Gm38062,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000054976.15,Nyap2,19,4,38,14,21,7,19,4,14,1
ENSMUSG00000055980.3,Irs1,39,9,34,24,24,8,45,7,31,5
ENSMUSG00000026142.16,Rhbdd1,2,0,1,2,2,1,0,1,2,0
ENSMUSG00000067158.10,Col4a4,0,1,2,0,1,0,1,0,1,0
ENSMUSG00000079465.9,Col4a3,1,1,2,1,4,0,4,1,1,0
ENSMUSG00000026150.15,Mff,13,5,9,6,5,5,16,1,12,1
ENSMUSG00000101450.2,Gm28941,2,0,0,1,1,0,2,0,1,0
ENSMUSG00000026149.3,Tm4sf20,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000026159.14,Agfg1,22,6,17,11,11,3,21,7,10,2
ENSMUSG00000113880.2,A030005L19Rik,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026163.18,Sphkap,137,34,219,68,147,31,214,35,110,24
ENSMUSG00000079140.4,Gm6374,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000104374.2,Gm37517,1,0,8,1,2,0,5,0,1,0
ENSMUSG00000045658.17,Pid1,6,1,9,2,9,0,16,3,2,2
ENSMUSG00000101934.2,Gm18304,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000036766.13,Dner,29,6,36,13,20,11,51,17,60,11
