Gene,Gene name,LS8A/AGGGTA,LS8A/GTTAGG,LS8A/TATGGA,LS8B/TATGGA,LS8B/AGGGTA,LS8B/GTTAGG,LS8C/TATGGA,LS8C/AGGGTA,LS8C/GTTAGG,LS8D/AGGGTA,LS8D/GTTAGG,LS8D/TATGGA,LS8E/TATGGA,LS8E/GTTAGG,LS8E/AGGGTA,LS8F/TATGGA,LS8F/GTTAGG,LS8F/AGGGTA,LS8H/TATGGA,LS8H/GTTAGG,LS8H/AGGGTA
ENSMUSG00000005886.15,Ncoa2,220,91,536,466,191,130,336,184,101,143,94,216,107,26,30,78,9,20,39,4,18
ENSMUSG00000103506.2,Gm38376,2,1,1,1,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085.2,Gm38120,2,1,3,2,3,1,1,2,1,1,1,4,0,0,0,1,0,0,1,0,0
ENSMUSG00000102664.2,Gm38380,0,1,4,6,1,0,3,1,1,0,1,2,1,0,1,0,0,1,0,0,0
ENSMUSG00000025935.11,Tram1,53,19,113,101,46,25,60,47,37,49,28,48,24,4,7,20,3,0,14,4,6
ENSMUSG00000025937.7,Lactb2,10,2,14,12,6,1,6,4,2,5,3,6,2,1,1,0,1,1,2,0,1
ENSMUSG00000097711.2,Gm5523,3,2,3,3,1,1,1,2,3,5,1,2,0,0,0,1,0,0,1,0,0
ENSMUSG00000025932.15,Eya1,2,0,5,6,2,1,6,2,2,1,1,2,0,1,0,1,0,0,0,0,0
ENSMUSG00000025930.7,Msc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737.4,Gm10566,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092083.5,Kcnb2,73,29,28,6,54,16,9,79,21,61,32,3,10,3,4,6,1,0,2,2,0
ENSMUSG00000102937.2,Gm38116,0,1,1,2,2,2,0,2,1,4,0,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000104149.2,Gm37138,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101652.2,Gm6060,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925.15,Terf1,6,5,6,9,5,4,5,8,2,3,4,8,1,0,2,2,0,0,1,0,0
ENSMUSG00000104379.2,Gm37509,3,0,0,2,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0
ENSMUSG00000032719.5,Sbspon,0,0,1,1,0,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000043716.14,Rpl7,25,5,38,27,19,8,15,22,6,20,3,7,6,0,2,6,1,2,3,0,3
ENSMUSG00000025921.8,Rdh10,2,12,25,23,8,10,5,5,12,5,7,8,4,1,3,5,0,0,2,0,0
ENSMUSG00000104165.2,Gm38249,6,0,3,3,3,0,1,5,0,6,1,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000025920.20,Stau2,93,14,46,40,79,10,29,92,13,71,12,16,11,4,2,10,1,3,8,2,2
ENSMUSG00000089982.8,Gm7568,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025939.20,Ube2w,21,6,38,36,16,13,19,17,9,21,14,13,6,2,5,5,1,0,6,0,3
ENSMUSG00000102457.2,Gm38342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079658.10,Eloc,30,5,20,15,34,4,7,24,4,22,8,4,4,1,1,2,0,2,4,3,3
ENSMUSG00000025940.7,Tmem70,5,3,6,4,3,2,4,6,2,3,4,2,0,1,2,1,0,0,0,0,0
ENSMUSG00000025779.11,Ly96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020.4,Gm5828,1,1,5,4,2,1,2,3,1,3,4,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000042686.6,Jph1,1,0,7,4,0,0,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000025777.9,Gdap1,104,15,20,9,79,14,13,58,14,59,10,7,10,1,3,7,0,2,6,1,2
ENSMUSG00000101589.2,Rbm6-ps1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102048.2,Gm6075,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025776.14,Crispld1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089787.3,Gm15825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596.8,Tfap2d,18,1,3,0,19,0,0,21,0,16,0,1,0,0,0,0,0,0,0,1,1
ENSMUSG00000025927.14,Tfap2b,171,48,79,28,170,56,13,144,58,144,62,30,31,11,12,26,0,5,28,1,4
ENSMUSG00000041859.11,Mcm3,1,0,1,0,0,0,2,0,0,4,1,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000025931.16,Paqr8,41,0,1,4,37,1,2,43,1,27,3,2,2,1,0,0,0,0,3,0,0
ENSMUSG00000041809.6,Efhc1,2,2,1,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,1,0,0
ENSMUSG00000041779.6,Tram2,0,1,0,0,5,0,1,3,0,6,2,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000025933.16,Tmem14a,2,1,2,1,1,0,1,3,0,0,2,0,2,0,0,1,0,0,0,0,0
ENSMUSG00000102633.2,Gm38224,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025934.16,Gsta3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028033.17,Kcnq5,5,0,3,0,3,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000082935.4,Gm7658,1,0,4,4,4,1,3,5,2,3,0,0,1,0,2,2,1,0,1,0,1
ENSMUSG00000041670.20,Rims1,372,18,62,36,345,26,17,294,12,323,18,20,38,5,14,17,2,9,11,4,1
ENSMUSG00000097642.2,Gm26866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097970.2,Gm27028,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026158.12,Ogfrl1,155,18,50,22,134,22,15,111,22,101,24,20,20,4,9,8,4,1,8,0,4
ENSMUSG00000097920.2,Gm7784,9,0,2,9,4,2,5,5,0,8,0,10,1,1,0,2,0,0,6,1,0
ENSMUSG00000026156.9,B3gat2,19,1,3,2,20,2,7,16,3,18,2,1,3,1,0,2,0,0,1,0,1
ENSMUSG00000026155.14,Smap1,49,9,25,24,43,7,16,49,6,37,6,11,4,2,2,4,1,2,7,1,0
ENSMUSG00000026154.5,Sdhaf4,4,1,1,3,4,1,1,2,3,4,0,2,1,0,0,2,0,0,0,1,0
ENSMUSG00000026153.16,Fam135a,40,18,63,46,24,19,30,36,15,21,16,8,10,2,1,11,2,1,5,2,2
ENSMUSG00000026147.17,Col9a1,3,6,13,15,8,5,1,1,4,5,9,5,4,1,1,3,1,1,1,0,1
ENSMUSG00000026141.14,Col19a1,5,1,10,14,4,1,10,1,1,3,0,7,3,0,0,4,2,0,2,0,0
ENSMUSG00000099997.2,Tubb4b-ps2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100862.2,Gm10925,4,0,3,1,1,0,3,5,1,5,1,2,0,1,1,0,0,0,1,0,0
ENSMUSG00000100131.2,Gm28439,0,0,3,0,1,0,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0
ENSMUSG00000101939.2,Gm28438,11,0,4,3,1,1,3,3,2,5,1,1,3,0,1,2,0,0,0,1,0
ENSMUSG00000101111.2,Gm28437,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102070.2,Gm28661,4,0,3,4,2,1,1,2,2,6,1,2,1,0,0,2,0,0,0,0,0
ENSMUSG00000101249.2,Gm29216,5,1,1,3,4,1,1,3,1,2,0,1,1,1,0,0,0,0,1,0,0
ENSMUSG00000073725.9,Lmbrd1,73,24,66,63,56,16,33,52,13,52,24,16,13,1,3,8,4,1,10,2,2
ENSMUSG00000033569.18,Adgrb3,86,21,28,15,60,22,11,51,13,55,19,7,11,1,3,5,1,1,2,0,3
ENSMUSG00000104257.2,Gm20172,2,2,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103209.2,Gm37331,3,2,2,0,1,2,1,0,2,3,2,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000104027.2,Gm37211,1,1,1,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000102407.2,Gm37862,3,3,1,1,2,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000103214.2,Gm38286,2,1,1,1,1,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000104100.2,Gm37880,4,0,0,0,2,2,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103889.2,Gm37011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104221.2,Gm37051,3,0,0,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102250.2,Gm38260,4,2,2,1,2,1,0,4,0,3,3,1,0,0,1,0,0,0,1,0,0
ENSMUSG00000102317.2,Gm37628,8,4,2,2,4,0,0,1,3,2,2,1,0,0,0,0,0,0,2,0,1
ENSMUSG00000103563.2,8030445P17Rik,1,1,3,2,1,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102465.2,Gm38198,4,3,2,3,5,8,0,5,1,7,10,2,0,1,1,1,1,1,0,0,1
ENSMUSG00000102659.2,Gm37077,3,6,1,0,0,2,0,2,3,3,4,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000103924.2,Gm37895,0,0,2,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104132.2,Gm36952,5,6,3,1,4,5,2,1,2,3,8,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000102747.2,Gm37602,1,2,0,1,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000102386.2,2900022M07Rik,1,0,0,1,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
ENSMUSG00000103004.2,2900002M20Rik,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101514.2,Gm5524,1,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000099492.2,Gm5525,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048874.16,Phf3,80,27,135,119,81,32,73,85,31,74,38,52,30,2,6,20,1,6,15,6,1
ENSMUSG00000103783.2,Gm37522,2,1,2,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
ENSMUSG00000104315.2,Gm37906,2,0,1,0,0,0,1,1,0,3,0,1,2,1,0,0,0,0,0,0,0
ENSMUSG00000101093.2,Eef1a1-ps2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082159.3,Gm7910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026058.12,Khdrbs2,15,0,2,2,10,1,1,9,0,6,2,0,2,0,0,0,1,1,0,0,0
ENSMUSG00000103482.2,Gm37999,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000104313.2,Gm37911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091318.3,Gm5415,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000100481.2,Gm7114,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026134.12,Prim2,10,2,5,6,7,1,4,2,3,4,1,1,1,0,1,1,0,0,0,1,0
ENSMUSG00000102714.2,Gm37618,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103746.2,1700001G17Rik,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004768.15,Rab23,14,3,9,12,13,0,4,8,4,14,4,3,2,0,1,3,0,0,2,0,0
ENSMUSG00000042215.9,Bag2,6,1,5,2,9,3,1,10,0,6,2,0,0,0,0,0,0,0,4,0,0
ENSMUSG00000042197.14,Zfp451,68,40,88,76,59,40,49,49,19,43,29,36,19,3,12,9,2,0,6,1,4
ENSMUSG00000042182.17,Bend6,119,7,19,10,115,7,4,107,15,105,5,4,7,1,4,2,0,0,1,1,0
ENSMUSG00000104416.2,Gm37067,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026131.21,Dst,558,74,129,81,389,60,66,361,56,357,72,42,53,11,15,24,2,8,12,7,6
ENSMUSG00000103001.2,A930005N03Rik,1,0,2,1,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,1
ENSMUSG00000101462.3,Gm3052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102336.2,Gm37233,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042111.10,Ccdc115,3,3,11,6,4,3,5,0,2,4,2,3,2,2,1,3,0,0,0,2,0
ENSMUSG00000026127.14,Imp4,11,9,23,34,11,6,12,8,8,7,10,9,2,0,2,7,0,0,1,1,0
ENSMUSG00000045174.11,Amer3,23,4,5,5,20,4,2,23,2,10,3,2,0,1,0,0,0,0,1,0,0
ENSMUSG00000037509.22,Arhgef4,85,9,17,5,70,11,5,52,10,61,15,9,9,2,3,0,0,0,0,0,1
ENSMUSG00000104002.3,Gm38336,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000037503.13,Fam168b,189,54,215,168,170,57,114,154,47,126,42,77,50,8,17,30,3,4,17,6,5
ENSMUSG00000104358.2,Gm37127,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000026123.12,Plekhb2,260,76,317,254,200,86,170,181,78,174,67,105,55,10,22,51,6,13,24,10,11
ENSMUSG00000103548.2,Gm37670,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104417.2,Gm37068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045216.8,Hs6st1,104,11,62,47,66,17,26,72,12,72,15,15,10,0,3,7,0,2,5,1,1
ENSMUSG00000102202.2,Gm33280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037470.15,Uggt1,85,20,90,74,58,18,44,66,9,58,27,27,15,2,10,15,0,2,4,1,5
ENSMUSG00000047180.9,Neurl3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037447.17,Arid5a,8,1,5,2,10,1,1,8,3,6,6,1,2,0,1,0,0,0,0,0,0
ENSMUSG00000010453.13,Kansl3,69,17,79,76,57,17,59,60,16,49,24,23,15,2,4,15,2,1,8,3,3
ENSMUSG00000037432.16,Fer1l5,7,1,3,3,6,1,5,3,2,7,4,3,3,0,2,0,0,0,0,0,0
ENSMUSG00000001143.14,Lman2l,26,6,23,27,15,6,12,17,2,14,7,13,0,1,0,5,2,0,3,0,1
ENSMUSG00000037408.11,Cnnm4,34,20,171,140,32,17,95,35,23,22,13,59,30,6,4,17,1,4,9,4,5
ENSMUSG00000104316.2,Gm37909,0,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000001138.14,Cnnm3,29,14,25,33,23,12,14,22,7,15,8,6,7,0,0,3,1,1,7,1,0
ENSMUSG00000067653.13,Ankrd23,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000079610.10,Ankrd39,5,0,3,5,2,1,1,2,3,2,2,2,0,0,1,0,0,0,0,0,0
ENSMUSG00000026121.14,Sema4c,11,0,10,9,9,6,7,5,6,8,4,2,2,0,2,2,0,1,0,0,0
ENSMUSG00000087589.4,D430040D24Rik,2,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
ENSMUSG00000061518.12,Cox5b,31,3,19,17,20,8,12,22,5,20,5,14,6,1,3,0,0,1,4,0,1
ENSMUSG00000037351.10,Actr1b,135,13,60,52,105,16,17,101,16,99,11,26,21,1,8,9,4,2,2,3,0
ENSMUSG00000026117.11,Zap70,1,0,1,0,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000026116.12,Tmem131,137,47,214,192,98,60,74,127,45,108,56,58,30,14,10,11,6,5,16,3,4
ENSMUSG00000102930.2,Gm38115,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103159.2,F830112A20Rik,0,0,2,2,2,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0
ENSMUSG00000026114.15,Cnga3,0,0,26,40,3,0,16,0,0,2,1,6,2,0,1,1,0,1,0,0,0
ENSMUSG00000026113.18,Inpp4a,221,30,59,40,185,37,32,175,24,173,41,20,28,11,8,14,2,2,10,5,4
ENSMUSG00000026112.8,Coa5,71,15,79,54,51,19,41,44,22,43,13,27,14,1,9,12,0,3,7,0,4
ENSMUSG00000026111.16,Unc50,6,0,10,8,12,6,7,2,6,4,2,2,0,0,0,1,0,0,1,0,0
ENSMUSG00000026110.16,Mgat4a,53,9,17,6,35,8,3,31,4,37,11,7,7,2,1,3,0,1,6,1,0
ENSMUSG00000103948.2,4930594C11Rik,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000026090.17,Cracdl,1,0,1,1,4,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000060771.16,Tsga10,3,3,15,15,4,2,8,4,1,5,2,5,3,1,0,5,0,0,1,0,0
ENSMUSG00000097268.2,Gm26805,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037216.6,Lipt1,1,1,2,2,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
ENSMUSG00000026088.16,Mitd1,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026087.12,Mrpl30,13,4,6,5,9,2,3,7,3,9,5,4,2,0,0,2,0,0,2,1,1
ENSMUSG00000058407.13,Txndc9,11,7,8,5,2,3,5,8,0,13,4,4,2,0,0,0,1,0,0,0,0
ENSMUSG00000026083.13,Eif5b,51,8,34,46,40,12,30,41,13,37,9,16,11,1,3,4,0,0,6,1,2
