436D,gene_id,gene_name,gene_type,gene_length,gene_count,RPK,TPM,log2(TPM+1)
62,ENSMUSG00000102135.1,Gm37108,processed_pseudogene,626,1,1.597444089456869,33.016967743614465,5.088182640467727
63,ENSMUSG00000103282.1,Gm37275,processed_pseudogene,30,0,0.0,0.0,0.0
64,ENSMUSG00000102534.1,Gm37225,processed_pseudogene,325,0,0.0,0.0,0.0
65,ENSMUSG00000102213.1,Gm37489,processed_pseudogene,159,0,0.0,0.0,0.0
66,ENSMUSG00000103629.1,Gm5694,processed_pseudogene,641,0,0.0,0.0,0.0
67,ENSMUSG00000051285.17,Pcmtd1,protein_coding,6654,0,0.0,0.0,0.0
68,ENSMUSG00000098201.1,Gm26983,processed_pseudogene,388,0,0.0,0.0,0.0
69,ENSMUSG00000103509.1,Gm38372,TEC,4028,0,0.0,0.0,0.0
70,ENSMUSG00000048538.7,Gm9826,processed_pseudogene,1299,0,0.0,0.0,0.0
71,ENSMUSG00000103709.1,Nras-ps2,processed_pseudogene,178,0,0.0,0.0,0.0
72,ENSMUSG00000077244.1,Gm23274,snoRNA,130,0,0.0,0.0,0.0
73,ENSMUSG00000102768.1,Gm19002,processed_pseudogene,1012,0,0.0,0.0,0.0
74,ENSMUSG00000097797.6,Gm26901,lincRNA,4339,0,0.0,0.0,0.0
75,ENSMUSG00000103498.1,Gm18984,processed_pseudogene,1124,0,0.0,0.0,0.0
76,ENSMUSG00000103067.1,Gm30414,lincRNA,2596,0,0.0,0.0,0.0
77,ENSMUSG00000102320.1,Gm37791,processed_pseudogene,286,0,0.0,0.0,0.0
78,ENSMUSG00000104226.1,Gm7470,processed_pseudogene,2095,0,0.0,0.0,0.0
79,ENSMUSG00000103903.1,Rps2-ps2,processed_pseudogene,881,0,0.0,0.0,0.0
80,ENSMUSG00000103557.1,Gm38216,processed_pseudogene,1214,0,0.0,0.0,0.0
81,ENSMUSG00000025909.16,Sntg1,protein_coding,10908,0,0.0,0.0,0.0
82,ENSMUSG00000102647.1,Gm38024,TEC,2532,0,0.0,0.0,0.0
83,ENSMUSG00000086235.1,Gm16284,processed_pseudogene,400,0,0.0,0.0,0.0
84,ENSMUSG00000102253.1,Gm38259,TEC,3534,0,0.0,0.0,0.0
85,ENSMUSG00000093970.1,Gm23358,miRNA,110,0,0.0,0.0,0.0
86,ENSMUSG00000103884.1,Gm37005,TEC,1164,0,0.0,0.0,0.0
87,ENSMUSG00000084353.1,Gm15452,processed_pseudogene,240,0,0.0,0.0,0.0
88,ENSMUSG00000103933.1,Gm36964,processed_pseudogene,198,1,5.05050505050505,104.38697882577095,6.719552814397167
89,ENSMUSG00000076135.1,Gm24276,miRNA,110,0,0.0,0.0,0.0
90,ENSMUSG00000086195.1,Gm6152,processed_pseudogene,340,0,0.0,0.0,0.0
91,ENSMUSG00000104504.1,Gm7445,processed_pseudogene,340,0,0.0,0.0,0.0
92,ENSMUSG00000066693.2,Gm7493,processed_pseudogene,626,0,0.0,0.0,0.0
93,ENSMUSG00000102316.1,Gm37629,TEC,1050,0,0.0,0.0,0.0
94,ENSMUSG00000103819.1,Gm38008,processed_pseudogene,518,0,0.0,0.0,0.0
95,ENSMUSG00000102871.1,Gm37143,TEC,3259,0,0.0,0.0,0.0
96,ENSMUSG00000101571.2,Gm6187,processed_pseudogene,960,0,0.0,0.0,0.0
97,ENSMUSG00000104428.1,Gm18299,processed_pseudogene,636,0,0.0,0.0,0.0
98,ENSMUSG00000102272.1,Gm7512,processed_pseudogene,1170,0,0.0,0.0,0.0
99,ENSMUSG00000065625.1,Gm24765,snRNA,103,0,0.0,0.0,0.0
100,ENSMUSG00000103411.1,Gm18300,processed_pseudogene,1406,0,0.0,0.0,0.0
101,ENSMUSG00000061024.8,Rrs1,protein_coding,2048,14,6.8359375,141.28940688722514,7.15268445037326
102,ENSMUSG00000025911.14,Adhfe1,protein_coding,3780,0,0.0,0.0,0.0
103,ENSMUSG00000079671.8,2610203C22Rik,processed_transcript,4910,0,0.0,0.0,0.0
104,ENSMUSG00000081441.3,Gm6161,processed_pseudogene,1102,0,0.0,0.0,0.0
105,ENSMUSG00000067879.3,Vxn,protein_coding,3256,0,0.0,0.0,0.0
106,ENSMUSG00000099827.1,Gm29520,lincRNA,1067,0,0.0,0.0,0.0
107,ENSMUSG00000025912.16,Mybl1,protein_coding,5402,0,0.0,0.0,0.0
108,ENSMUSG00000045210.8,Vcpip1,protein_coding,9749,14,1.4360447225356445,29.681065268749315,4.939276670011818
109,ENSMUSG00000097893.8,1700034P13Rik,antisense,3101,0,0.0,0.0,0.0
110,ENSMUSG00000025915.14,Sgk3,protein_coding,14311,0,0.0,0.0,0.0
111,ENSMUSG00000046334.4,Gm6195,processed_pseudogene,357,0,0.0,0.0,0.0
112,ENSMUSG00000088916.1,Gm22607,snRNA,105,0,0.0,0.0,0.0
113,ENSMUSG00000046101.16,Mcmdc2,protein_coding,5916,0,0.0,0.0,0.0
114,ENSMUSG00000098234.7,Snhg6,lincRNA,1146,0,0.0,0.0,0.0
115,ENSMUSG00000093178.1,Snord87,snoRNA,87,0,0.0,0.0,0.0
116,ENSMUSG00000099032.2,Tcf24,protein_coding,4193,0,0.0,0.0,0.0
117,ENSMUSG00000104025.1,E330040D14Rik,TEC,1374,0,0.0,0.0,0.0
118,ENSMUSG00000025916.10,Ppp1r42,protein_coding,1523,0,0.0,0.0,0.0
119,ENSMUSG00000087199.1,Gm15818,antisense,656,0,0.0,0.0,0.0
120,ENSMUSG00000095780.1,Gm24674,snRNA,104,0,0.0,0.0,0.0
121,ENSMUSG00000025917.9,Cops5,protein_coding,3766,4,1.0621348911311737,21.95286437334323,4.520602299043088
122,ENSMUSG00000056763.16,Cspp1,protein_coding,17553,2,0.11394063692816042,2.354995933174118,1.7463110176346726
123,ENSMUSG00000102356.1,1700047N06Rik,TEC,920,0,0.0,0.0,0.0
124,ENSMUSG00000067851.11,Arfgef1,protein_coding,11318,23,2.032161159215409,42.00197045171947,5.426330863906563
125,ENSMUSG00000088153.1,Gm26348,misc_RNA,240,0,0.0,0.0,0.0
126,ENSMUSG00000102556.1,Gm37569,TEC,1722,0,0.0,0.0,0.0
127,ENSMUSG00000042501.12,Cpa6,protein_coding,6840,0,0.0,0.0,0.0
128,ENSMUSG00000103810.1,Gm38005,TEC,2745,0,0.0,0.0,0.0
129,ENSMUSG00000083422.1,Gm15604,processed_pseudogene,1456,2,1.3736263736263736,28.39096402129485,4.877300774935889
130,ENSMUSG00000094979.1,Gm25253,snRNA,107,0,0.0,0.0,0.0
131,ENSMUSG00000081417.1,Gm15603,processed_pseudogene,492,1,2.032520325203252,42.009393917688314,5.426579896058176
132,ENSMUSG00000103448.1,Gm37133,TEC,1922,0,0.0,0.0,0.0
133,ENSMUSG00000100212.1,Gm5522,processed_pseudogene,1242,0,0.0,0.0,0.0
134,ENSMUSG00000100648.1,Gm28659,processed_pseudogene,759,8,10.540184453227932,217.8510862450872,7.7738057344394225
135,ENSMUSG00000088585.1,Gm22963,snoRNA,91,0,0.0,0.0,0.0
136,ENSMUSG00000048960.13,Prex2,protein_coding,16609,4,0.24083328315973265,4.977692048287712,2.579588575863128
137,ENSMUSG00000077318.1,Gm24173,snoRNA,128,0,0.0,0.0,0.0
138,ENSMUSG00000101827.1,Gm28686,processed_pseudogene,609,0,0.0,0.0,0.0
139,ENSMUSG00000103494.1,Gm37410,TEC,3039,0,0.0,0.0,0.0
140,ENSMUSG00000057715.13,A830018L16Rik,protein_coding,9183,0,0.0,0.0,0.0
141,ENSMUSG00000103825.1,Gm38178,TEC,2471,0,0.0,0.0,0.0
142,ENSMUSG00000099845.1,Gm29273,processed_pseudogene,262,0,0.0,0.0,0.0
143,ENSMUSG00000103561.1,Gm38069,TEC,2144,0,0.0,0.0,0.0
144,ENSMUSG00000101610.1,Gm7560,processed_pseudogene,873,0,0.0,0.0,0.0
145,ENSMUSG00000093864.1,Gm22633,snRNA,107,0,0.0,0.0,0.0
146,ENSMUSG00000098555.1,Mir6341,miRNA,121,0,0.0,0.0,0.0
147,ENSMUSG00000097628.1,Gm2383,processed_pseudogene,807,1,1.2391573729863692,25.611675102233765,4.733987420190159
148,ENSMUSG00000098163.1,Gm6216,processed_pseudogene,687,0,0.0,0.0,0.0
149,ENSMUSG00000097171.1,Gm17644,lincRNA,3200,0,0.0,0.0,0.0
150,ENSMUSG00000101314.1,Gm29663,lincRNA,853,0,0.0,0.0,0.0
151,ENSMUSG00000016918.15,Sulf1,protein_coding,11294,1,0.08854258898530193,1.8300532855943552,1.5008292170638728
152,ENSMUSG00000025938.16,Slco5a1,protein_coding,13137,0,0.0,0.0,0.0
153,ENSMUSG00000104518.1,Gm37162,TEC,551,0,0.0,0.0,0.0
154,ENSMUSG00000069620.6,Gm5250,processed_pseudogene,321,0,0.0,0.0,0.0
155,ENSMUSG00000099498.1,Gm29283,lincRNA,288,0,0.0,0.0,0.0
156,ENSMUSG00000042414.7,Prdm14,protein_coding,2564,0,0.0,0.0,0.0
157,ENSMUSG00000005886.14,Ncoa2,protein_coding,15642,15,0.9589566551591868,19.820312435272967,4.379919813161429
158,ENSMUSG00000103506.1,Gm38376,TEC,2253,0,0.0,0.0,0.0
159,ENSMUSG00000103495.1,Gm37409,TEC,1626,0,0.0,0.0,0.0
160,ENSMUSG00000099183.1,Gm27881,miRNA,82,0,0.0,0.0,0.0
161,ENSMUSG00000102639.1,Gm38223,TEC,695,0,0.0,0.0,0.0
162,ENSMUSG00000104170.1,Gm37702,TEC,1872,0,0.0,0.0,0.0
163,ENSMUSG00000087782.1,Gm23169,snRNA,112,0,0.0,0.0,0.0
164,ENSMUSG00000103085.1,Gm38120,TEC,4642,0,0.0,0.0,0.0
165,ENSMUSG00000102664.1,Gm38380,TEC,2248,0,0.0,0.0,0.0
166,ENSMUSG00000101476.1,Gm29570,antisense,681,0,0.0,0.0,0.0
167,ENSMUSG00000101171.1,Gm7593,processed_pseudogene,644,0,0.0,0.0,0.0
168,ENSMUSG00000025935.10,Tram1,protein_coding,3162,26,8.222643896268185,169.95071694973717,7.417436663073446
169,ENSMUSG00000025937.6,Lactb2,protein_coding,4566,3,0.657030223390276,13.579909203352596,3.8659098301708124
170,ENSMUSG00000102982.1,Gm38319,TEC,1266,0,0.0,0.0,0.0
171,ENSMUSG00000067813.3,Xkr9,protein_coding,1926,0,0.0,0.0,0.0
172,ENSMUSG00000077368.1,Gm26273,snoRNA,131,0,0.0,0.0,0.0
173,ENSMUSG00000097711.1,Gm5523,processed_pseudogene,997,1,1.0030090270812437,20.73081425025341,4.441670327979691
174,ENSMUSG00000102166.1,Gm36947,TEC,2249,0,0.0,0.0,0.0
175,ENSMUSG00000089358.1,Gm25491,misc_RNA,308,0,0.0,0.0,0.0
176,ENSMUSG00000104209.1,Gm37400,TEC,3605,0,0.0,0.0,0.0
177,ENSMUSG00000025932.14,Eya1,protein_coding,7808,5,0.6403688524590164,13.235541628779874,3.8314254801550525
178,ENSMUSG00000095853.1,Gm22616,miRNA,100,0,0.0,0.0,0.0
179,ENSMUSG00000102588.1,Gm37444,TEC,439,0,0.0,0.0,0.0
180,ENSMUSG00000054493.2,Gm9947,antisense,3566,0,0.0,0.0,0.0
181,ENSMUSG00000025930.6,Msc,protein_coding,2546,0,0.0,0.0,0.0
182,ENSMUSG00000103492.1,Gm37412,TEC,4321,0,0.0,0.0,0.0
183,ENSMUSG00000081201.1,Smt3h2-ps4,processed_pseudogene,288,0,0.0,0.0,0.0
184,ENSMUSG00000082193.1,Rpl5-ps1,processed_pseudogene,894,0,0.0,0.0,0.0
185,ENSMUSG00000032769.5,Trpa1,protein_coding,4263,0,0.0,0.0,0.0
186,ENSMUSG00000088159.1,Gm26345,snoRNA,120,0,0.0,0.0,0.0
187,ENSMUSG00000073737.3,Gm10566,processed_pseudogene,996,1,1.0040160642570282,20.751628320785795,4.4430514996368355
188,ENSMUSG00000092083.4,Kcnb2,protein_coding,15165,0,0.0,0.0,0.0
189,ENSMUSG00000102937.1,Gm38116,TEC,1533,0,0.0,0.0,0.0
190,ENSMUSG00000104149.1,Gm37138,TEC,2089,0,0.0,0.0,0.0
191,ENSMUSG00000088829.1,Gm25227,snoRNA,112,0,0.0,0.0,0.0
192,ENSMUSG00000077377.1,Gm25168,snoRNA,132,0,0.0,0.0,0.0
193,ENSMUSG00000101652.1,Gm6060,processed_pseudogene,251,1,3.9840637450199203,82.3451068027994,6.3810255958559825
194,ENSMUSG00000100814.1,Gm28669,processed_pseudogene,100,0,0.0,0.0,0.0
195,ENSMUSG00000025925.14,Terf1,protein_coding,4608,5,1.0850694444444444,22.42688998209923,4.550093537982538
196,ENSMUSG00000104379.1,Gm37509,TEC,3169,0,0.0,0.0,0.0
197,ENSMUSG00000032719.4,Sbspon,protein_coding,2748,0,0.0,0.0,0.0
198,ENSMUSG00000088943.1,Gm23259,misc_RNA,303,0,0.0,0.0,0.0
199,ENSMUSG00000100652.1,Gm7634,processed_pseudogene,553,0,0.0,0.0,0.0
200,ENSMUSG00000067795.13,4930444P10Rik,protein_coding,2063,0,0.0,0.0,0.0
201,ENSMUSG00000043716.13,Rpl7,protein_coding,2687,16,5.95459620394492,123.07329695572847,6.955048841948447
202,ENSMUSG00000025921.7,Rdh10,protein_coding,4160,2,0.4807692307692307,9.936837407453195,3.451123710878061
203,ENSMUSG00000104165.1,Gm38249,TEC,2321,0,0.0,0.0,0.0
204,ENSMUSG00000100868.1,Gm28095,antisense,1515,0,0.0,0.0,0.0
205,ENSMUSG00000025920.19,Stau2,protein_coding,6747,1,0.148214021046391,3.0633795475770937,2.0226801284954083
206,ENSMUSG00000089982.7,Gm7568,antisense,1003,0,0.0,0.0,0.0
207,ENSMUSG00000025939.19,Ube2w,protein_coding,4930,3,0.6085192697768763,12.577254649595933,3.7631198878854795
208,ENSMUSG00000102457.1,Gm38342,TEC,2980,0,0.0,0.0,0.0
209,ENSMUSG00000079658.9,Eloc,protein_coding,3026,9,2.9742233972240584,61.473098568249796,5.965163181989225
210,ENSMUSG00000097744.1,D030040B21Rik,lincRNA,2788,0,0.0,0.0,0.0
211,ENSMUSG00000100959.1,Gm7654,processed_pseudogene,683,0,0.0,0.0,0.0
212,ENSMUSG00000025940.6,Tmem70,protein_coding,1820,2,1.0989010989010988,22.712771217035876,4.567592369577777
213,ENSMUSG00000025779.10,Ly96,protein_coding,1021,0,0.0,0.0,0.0
214,ENSMUSG00000100093.1,Gm29649,processed_pseudogene,419,0,0.0,0.0,0.0
215,ENSMUSG00000091020.3,Gm5828,processed_pseudogene,1860,0,0.0,0.0,0.0
216,ENSMUSG00000101640.1,Gm28376,antisense,176,0,0.0,0.0,0.0
217,ENSMUSG00000104133.1,4921511E07Rik,TEC,827,0,0.0,0.0,0.0
218,ENSMUSG00000042686.5,Jph1,protein_coding,4998,0,0.0,0.0,0.0
219,ENSMUSG00000100110.1,Gm28783,lincRNA,359,0,0.0,0.0,0.0
220,ENSMUSG00000025777.8,Gdap1,protein_coding,7731,0,0.0,0.0,0.0
221,ENSMUSG00000099899.1,Gm28784,lincRNA,1011,0,0.0,0.0,0.0
222,ENSMUSG00000100272.1,Gm28785,processed_pseudogene,379,0,0.0,0.0,0.0
223,ENSMUSG00000100398.1,Gm5251,processed_pseudogene,472,0,0.0,0.0,0.0
224,ENSMUSG00000101589.1,Rbm6-ps1,processed_pseudogene,2870,0,0.0,0.0,0.0
225,ENSMUSG00000102048.1,Gm6075,processed_pseudogene,486,1,2.05761316872428,42.52802841049928,5.443872770037008
226,ENSMUSG00000089534.1,Gm25166,snoRNA,111,0,0.0,0.0,0.0
227,ENSMUSG00000067780.3,Pi15,protein_coding,6923,0,0.0,0.0,0.0
228,ENSMUSG00000100053.1,Gm28154,antisense,4218,0,0.0,0.0,0.0
229,ENSMUSG00000085125.7,Gm16070,antisense,8345,0,0.0,0.0,0.0
230,ENSMUSG00000025776.13,Crispld1,protein_coding,4515,0,0.0,0.0,0.0
231,ENSMUSG00000099895.1,Gm28153,antisense,629,0,0.0,0.0,0.0
232,ENSMUSG00000100554.1,Gm7690,processed_pseudogene,1399,0,0.0,0.0,0.0
233,ENSMUSG00000099473.1,Gm18775,transcribed_unprocessed_pseudogene,586,0,0.0,0.0,0.0
234,ENSMUSG00000099591.1,Gm17969,processed_pseudogene,2557,0,0.0,0.0,0.0
235,ENSMUSG00000109887.1,Gm28756,processed_transcript,2570,0,0.0,0.0,0.0
236,ENSMUSG00000102001.1,Gm28755,unprocessed_pseudogene,199,0,0.0,0.0,0.0
237,ENSMUSG00000101717.2,Gm45784,transcribed_unprocessed_pseudogene,142,0,0.0,0.0,0.0
238,ENSMUSG00000025774.14,Crisp4,protein_coding,2737,0,0.0,0.0,0.0
239,ENSMUSG00000070977.4,Defb44-ps,unprocessed_pseudogene,219,0,0.0,0.0,0.0
240,ENSMUSG00000073735.1,Defb18,protein_coding,258,0,0.0,0.0,0.0
241,ENSMUSG00000067773.6,Defb41,protein_coding,610,0,0.0,0.0,0.0
242,ENSMUSG00000101685.1,Gm17837,processed_pseudogene,985,0,0.0,0.0,0.0
243,ENSMUSG00000101306.1,Gm5252,processed_pseudogene,909,0,0.0,0.0,0.0
244,ENSMUSG00000088800.1,Gm24075,snoRNA,72,0,0.0,0.0,0.0
245,ENSMUSG00000101644.1,Gm28343,processed_pseudogene,112,0,0.0,0.0,0.0
246,ENSMUSG00000099433.1,Gm28344,processed_pseudogene,279,0,0.0,0.0,0.0
247,ENSMUSG00000089787.2,Gm15825,antisense,918,0,0.0,0.0,0.0
248,ENSMUSG00000042596.7,Tfap2d,protein_coding,1954,0,0.0,0.0,0.0
249,ENSMUSG00000100720.1,Gm10075,processed_pseudogene,545,0,0.0,0.0,0.0
250,ENSMUSG00000025927.13,Tfap2b,protein_coding,6338,0,0.0,0.0,0.0
251,ENSMUSG00000100538.1,Gm28340,lincRNA,202,0,0.0,0.0,0.0
252,ENSMUSG00000101117.1,Gm28341,processed_pseudogene,472,0,0.0,0.0,0.0
253,ENSMUSG00000100204.1,Gm4849,processed_pseudogene,2246,2,0.8904719501335708,18.404827967500136,4.278343737929065
254,ENSMUSG00000084668.1,Gm24633,snoRNA,65,0,0.0,0.0,0.0
255,ENSMUSG00000102597.1,Gm38382,TEC,2499,0,0.0,0.0,0.0
256,ENSMUSG00000043760.16,Pkhd1,protein_coding,14310,0,0.0,0.0,0.0
257,ENSMUSG00000104095.1,Gm37315,TEC,3479,0,0.0,0.0,0.0
258,ENSMUSG00000089914.2,4930486I03Rik,antisense,788,0,0.0,0.0,0.0
259,ENSMUSG00000090142.2,Gm15795,processed_pseudogene,553,0,0.0,0.0,0.0
260,ENSMUSG00000070175.1,Gm24162,snRNA,102,0,0.0,0.0,0.0
261,ENSMUSG00000099906.2,Gm28653,lincRNA,5551,0,0.0,0.0,0.0
262,ENSMUSG00000065559.1,Mir206,miRNA,73,0,0.0,0.0,0.0
263,ENSMUSG00000065480.1,Mir133b,miRNA,119,0,0.0,0.0,0.0
264,ENSMUSG00000025929.4,Il17a,protein_coding,1171,0,0.0,0.0,0.0
265,ENSMUSG00000041872.9,Il17f,protein_coding,2022,0,0.0,0.0,0.0
266,ENSMUSG00000041859.10,Mcm3,protein_coding,3752,44,11.727078891257996,242.38255851015901,7.927081973880207
267,ENSMUSG00000099714.1,Gm20587,processed_pseudogene,1186,0,0.0,0.0,0.0
268,ENSMUSG00000102121.1,Gm28065,lincRNA,833,0,0.0,0.0,0.0
269,ENSMUSG00000088858.1,Gm24723,snoRNA,132,0,0.0,0.0,0.0
270,ENSMUSG00000097934.1,6720483E21Rik,lincRNA,1120,0,0.0,0.0,0.0
271,ENSMUSG00000025931.15,Paqr8,protein_coding,5488,0,0.0,0.0,0.0
272,ENSMUSG00000077314.1,Gm24171,snoRNA,131,0,0.0,0.0,0.0
273,ENSMUSG00000100929.1,Gm28064,processed_pseudogene,858,0,0.0,0.0,0.0
274,ENSMUSG00000041809.5,Efhc1,protein_coding,2208,0,0.0,0.0,0.0
275,ENSMUSG00000041779.5,Tram2,protein_coding,6661,26,3.9033178201471252,80.67619981910659,6.351843837821114
276,ENSMUSG00000099971.1,Gm28287,antisense,546,0,0.0,0.0,0.0
277,ENSMUSG00000100819.1,Gm2693,unprocessed_pseudogene,571,0,0.0,0.0,0.0
278,ENSMUSG00000025933.15,Tmem14a,protein_coding,1351,0,0.0,0.0,0.0
279,ENSMUSG00000102633.1,Gm38224,TEC,2100,0,0.0,0.0,0.0
280,ENSMUSG00000025934.15,Gsta3,protein_coding,4344,0,0.0,0.0,0.0
281,ENSMUSG00000099343.1,Gm28836,antisense,633,0,0.0,0.0,0.0
282,ENSMUSG00000096375.2,Gm7094,unprocessed_pseudogene,366,0,0.0,0.0,0.0
283,ENSMUSG00000025936.15,Gm4956,transcribed_unprocessed_pseudogene,1365,0,0.0,0.0,0.0
284,ENSMUSG00000093963.1,Gm21909,unprocessed_pseudogene,439,0,0.0,0.0,0.0
285,ENSMUSG00000067750.3,Khdc1a,protein_coding,1987,0,0.0,0.0,0.0
286,ENSMUSG00000086194.1,Gm16329,unprocessed_pseudogene,371,0,0.0,0.0,0.0
287,ENSMUSG00000094436.1,Gm16327,processed_pseudogene,228,0,0.0,0.0,0.0
288,ENSMUSG00000041722.7,Khdc1c,protein_coding,1946,0,0.0,0.0,0.0
289,ENSMUSG00000085507.1,Gm2709,unprocessed_pseudogene,350,0,0.0,0.0,0.0
290,ENSMUSG00000094926.1,Gm16533,processed_pseudogene,228,0,0.0,0.0,0.0
291,ENSMUSG00000085079.3,Khdc1b,protein_coding,2236,0,0.0,0.0,0.0
292,ENSMUSG00000085679.2,Gm16328,processed_pseudogene,196,0,0.0,0.0,0.0
293,ENSMUSG00000028033.16,Kcnq5,protein_coding,7689,0,0.0,0.0,0.0
294,ENSMUSG00000104138.1,Gm36949,TEC,2327,0,0.0,0.0,0.0
