,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1190005I06Rik,1190005I06Rik,3,3,6,13,16,22,0.0,0,1,2,7,9,28,32,41,40,95,90,803,1023,889,1156,1710,1639
1190007I07Rik,1190007I07Rik,1,0,0,2,0,0,0.0,0,0,0,0,0,7,9,10,8,12,8,66,103,81,114,126,121
1200007C13Rik,1200007C13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0
1200014J11Rik,1200014J11Rik,5,1,3,12,4,8,0.0,0,2,0,3,6,16,29,17,18,47,65,293,412,330,486,783,683
1300002E11Rik,1300002E11Rik,0,0,3,2,0,2,0.0,0,0,0,0,0,10,19,24,21,59,41,96,105,96,134,266,209
1300017J02Rik,1300017J02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1
1500002C15Rik,1500002C15Rik,0,0,0,1,0,0,0.0,0,0,0,0,0,2,3,4,1,3,4,8,19,15,16,32,22
1500002F19Rik,1500002F19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,2,3,5,1,5,8,9
1500004A13Rik,1500004A13Rik,1,0,1,1,2,1,0.0,0,0,0,0,2,7,11,16,15,27,31,103,152,142,150,225,197
1500009C09Rik,1500009C09Rik,1,0,4,5,8,1,0.0,0,0,0,1,0,2,1,0,1,14,7,275,363,245,408,738,614
1500009L16Rik,1500009L16Rik,1,1,1,2,2,1,0.0,0,0,0,0,1,0,1,1,1,3,2,78,91,69,74,276,274
1500011B03Rik,1500011B03Rik,7,5,4,9,18,9,0.0,1,0,1,9,5,16,21,33,21,90,74,461,554,445,604,1256,1096
1500011K16Rik,1500011K16Rik,2,5,5,10,14,13,0.0,0,3,2,7,1,18,53,47,56,115,115,406,635,508,644,1094,999
1500012F01Rik,1500012F01Rik,5,4,3,8,22,7,0.0,0,0,0,0,0,18,16,15,23,91,75,305,403,284,423,791,660
1500012K07Rik,1500012K07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,4,0
1500015A07Rik,1500015A07Rik,7,1,1,4,1,2,0.0,0,0,0,0,2,8,17,7,9,34,22,128,164,155,192,232,245
1500015L24Rik,1500015L24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1500015O10Rik,1500015O10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,3,0,2,1,1,0,2
1500017E21Rik,1500017E21Rik,0,2,0,1,0,0,0.0,0,0,0,0,0,0,2,1,1,4,1,14,17,25,32,66,70
1500026H17Rik,1500026H17Rik,0,0,1,0,0,1,0.0,0,0,0,1,1,4,7,5,4,8,12,30,39,35,32,74,95
1500035N22Rik,1500035N22Rik,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,36,22,34,45,49,37
1520401A03Rik,1520401A03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1
1600002H07Rik,1600002H07Rik,0,1,0,1,0,0,0.0,0,0,0,0,0,1,7,2,4,15,6,30,38,33,36,126,66
1600002K03Rik,1600002K03Rik,1,0,2,1,1,2,0.0,0,0,0,1,2,8,10,10,10,31,35,65,74,76,65,199,155
1600012H06Rik,1600012H06Rik,1,1,0,0,1,4,0.0,0,0,0,3,1,7,15,11,14,33,34,91,125,95,119,167,159
1600014C10Rik,1600014C10Rik,3,1,0,0,1,0,0.0,0,0,0,0,0,0,4,3,3,14,9,31,39,51,43,103,91
1600014C23Rik,1600014C23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,3,1,2,12,13,8,8,10,14,33,18
1600020E01Rik,1600020E01Rik,2,1,1,6,5,1,0.0,0,0,0,1,2,9,13,11,8,33,25,83,113,113,114,214,156
1700001C02Rik,1700001C02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700001F09Rik,1700001F09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,1700001G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,4,1,2,2,2,10,19,6
1700001G17Rik,1700001G17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
1700001J03Rik,1700001J03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,3,10,5,4,15,10
1700001K19Rik,1700001K19Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,2
1700001L05Rik,1700001L05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,1
1700001L19Rik,1700001L19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,2,0,4,1,6,5,2,0,25,16
1700001O22Rik,1700001O22Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,3,2,5,3,2,1,0,1,4,2
1700001P01Rik,1700001P01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
1700003D09Rik,1700003D09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1700003E16Rik,1700003E16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,5,2
1700003F12Rik,1700003F12Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,7,9,4,10,12,14,3,1,2,3,5,8
1700003G18Rik,1700003G18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1700003M02Rik,1700003M02Rik,0,1,0,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
1700003M07Rik,1700003M07Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003P14Rik,1700003P14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700006A11Rik,1700006A11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,1700006E09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,1700006F04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,1700006J14Rik,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,1700007B14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1
1700007G11Rik,1700007G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0
1700007J10Rik,1700007J10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,4
1700007K09Rik,1700007K09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2
1700007K13Rik,1700007K13Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
1700007L15Rik,1700007L15Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,0,3,1,1,4,1,6,5,4,3,6,9
1700007M16Rik,1700007M16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008A23Rik,1700008A23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700008F21Rik,1700008F21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1700008J07Rik,1700008J07Rik,0,0,0,0,1,0,0.0,0,0,0,1,0,8,5,5,7,17,20,39,34,30,33,63,69
1700008K24Rik,1700008K24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1700008O03Rik,1700008O03Rik,1,0,1,0,0,0,0.0,0,0,0,0,0,0,2,0,0,5,2,18,21,13,22,29,37
1700009C05Rik,1700009C05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1700009N14Rik,1700009N14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1700010B13Rik,1700010B13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700010H22Rik,1700010H22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
1700010I02Rik,1700010I02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,1700010I14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,1,4,2,4,5,4,3,10,14
1700010J16Rik,1700010J16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,1700010K23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,11,8
1700010K24Rik,1700010K24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,4,8,5,4,8
1700010L04Rik,1700010L04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1700011A15Rik,1700011A15Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1700011E24Rik,1700011E24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0
1700011I03Rik,1700011I03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1700011L22Rik,1700011L22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700012A03Rik,1700012A03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,1700012B09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1700012C14Rik,1700012C14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1
1700013D24Rik,1700013D24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1700013F07Rik,1700013F07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1
1700014D04Rik,1700014D04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1700015E13Rik,1700015E13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1
1700015F17Rik,1700015F17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,3,7
1700015G11Rik,1700015G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700016A09Rik,1700016A09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6
1700016C15Rik,1700016C15Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700016D06Rik,1700016D06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700016D08Rik,1700016D08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
1700016G22Rik,1700016G22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016H13Rik,1700016H13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700016K19Rik,1700016K19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,1700016L21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,3
1700016P03Rik,1700016P03Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,1,0,10,14,17,26,16,29
1700017B05Rik,1700017B05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,6,3,1,0,1,3,2,1
1700017D01Rik,1700017D01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
1700017G19Rik,1700017G19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1700017N19Rik,1700017N19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1700018B08Rik,1700018B08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700018L02Rik,1700018L02Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,2,5,0,6,6,1,5,5,9
1700019A02Rik,1700019A02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,5,5,2
1700019B03Rik,1700019B03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3
1700019D03Rik,1700019D03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,27,20,18,30,47,37,1,2,3,6,5,2
1700019G17Rik,1700019G17Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,4,3,2,6,12,10,1,5,7,7,11,19
1700019L03Rik,1700019L03Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,0,1,0,1,1,0,6,10,6,8,23,13
1700019N19Rik,1700019N19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1700020A23Rik,1700020A23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700020D05Rik,1700020D05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,3,4,15,11,12,15,12
1700020I14Rik,1700020I14Rik,3,13,10,14,23,31,0.0,1,1,2,8,16,48,62,57,56,113,124,763,1179,1127,1256,2023,1735
1700020L24Rik,1700020L24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1700020N01Rik,1700020N01Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700020N18Rik,1700020N18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1700021F05Rik,1700021F05Rik,0,0,0,6,4,4,0.0,0,0,0,0,2,11,11,11,19,46,52,100,154,146,194,373,367
1700021J08Rik,1700021J08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700021K19Rik,1700021K19Rik,0,1,1,1,4,1,0.0,0,0,0,0,0,6,8,11,12,25,21,81,98,87,115,173,160
1700021N21Rik,1700021N21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,7,8,6,7,18,15
1700022E09Rik,1700022E09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,10
1700022I11Rik,1700022I11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,2,2,6,1,5,3
1700022N22Rik,1700022N22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
1700023C21Rik,1700023C21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700023E05Rik,1700023E05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1700023F06Rik,1700023F06Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,1,4,0,2,9,9,8,8,9,13,30,31
1700023H06Rik,1700023H06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,0,1,3,0,1,0,1,13,12
1700023L04Rik,1700023L04Rik,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0
1700024B18Rik,1700024B18Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1700024P16Rik,1700024P16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1700025C18Rik,1700025C18Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,1700025G04Rik,1,1,2,9,2,2,0.0,0,0,0,0,1,17,29,33,23,63,51,402,545,479,606,1005,844
1700025M24Rik,1700025M24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1700026D08Rik,1700026D08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,1700026F02Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700026J14Rik,1700026J14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,4,5
1700026L06Rik,1700026L06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700027A07Rik,1700027A07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,2,2,2
1700027A15Rik,1700027A15Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,1700027H10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
1700027I24Rik,1700027I24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1700027J19Rik,1700027J19Rik,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,14,12,5,14,0,0
1700028E10Rik,1700028E10Rik,0,0,0,0,1,2,0.0,0,0,0,0,1,1,1,0,0,2,0,9,6,1,8,62,50
1700028I16Rik,1700028I16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1700028J19Rik,1700028J19Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,4,1,3
1700028K03Rik,1700028K03Rik,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,18,10,13,24,26
