436D,gene_id,gene_name,gene_type,gene_length,gene_count,RPK,TPM,log2(TPM+1)
87,ENSMUSG00000084353.2,Gm15452,processed_pseudogene,240,0,0.0,0.0,0.0
88,ENSMUSG00000103933.2,Gm36964,processed_pseudogene,198,1,5.05050505050505,123.71903936245039,6.962537910732824
89,ENSMUSG00002075967.1,ENSMUSG00002075967,miRNA,110,0,0.0,0.0,0.0
90,ENSMUSG00000086195.2,Gm6152,processed_pseudogene,340,0,0.0,0.0,0.0
91,ENSMUSG00000104504.2,Gm7445,processed_pseudogene,340,0,0.0,0.0,0.0
92,ENSMUSG00000066693.3,Gm7493,processed_pseudogene,626,0,0.0,0.0,0.0
93,ENSMUSG00000102316.2,Gm37629,TEC,1050,0,0.0,0.0,0.0
94,ENSMUSG00000103819.2,Gm38008,processed_pseudogene,518,0,0.0,0.0,0.0
95,ENSMUSG00000102871.2,Gm37143,TEC,3259,0,0.0,0.0,0.0
96,ENSMUSG00000101571.3,Gm6187,processed_pseudogene,960,0,0.0,0.0,0.0
97,ENSMUSG00000104428.2,Gm18299,processed_pseudogene,636,0,0.0,0.0,0.0
98,ENSMUSG00000102272.2,Gm7512,processed_pseudogene,1170,0,0.0,0.0,0.0
99,ENSMUSG00000065625.3,Gm24765,snRNA,103,0,0.0,0.0,0.0
100,ENSMUSG00000103411.2,Gm18300,processed_pseudogene,1406,0,0.0,0.0,0.0
101,ENSMUSG00000061024.9,Rrs1,protein_coding,2048,14,6.8359375,167.45565288706666,7.39622503174167
102,ENSMUSG00000025911.15,Adhfe1,protein_coding,3780,0,0.0,0.0,0.0
103,ENSMUSG00000079671.9,2610203C22Rik,lncRNA,4910,0,0.0,0.0,0.0
104,ENSMUSG00000081441.4,Gm6161,processed_pseudogene,1102,0,0.0,0.0,0.0
105,ENSMUSG00000067879.4,Vxn,protein_coding,3256,0,0.0,0.0,0.0
106,ENSMUSG00000099827.2,Gm29520,lncRNA,1067,0,0.0,0.0,0.0
107,ENSMUSG00000025912.17,Mybl1,protein_coding,5402,0,0.0,0.0,0.0
108,ENSMUSG00000045210.9,Vcpip1,protein_coding,9749,14,1.4360447225356445,35.177882563618056,5.177036066573362
109,ENSMUSG00000097893.9,1700034P13Rik,lncRNA,3101,0,0.0,0.0,0.0
110,ENSMUSG00000025915.15,Sgk3,protein_coding,14311,0,0.0,0.0,0.0
111,ENSMUSG00000046334.5,Gm6195,processed_pseudogene,357,0,0.0,0.0,0.0
112,ENSMUSG00002075801.1,U6,snRNA,105,0,0.0,0.0,0.0
113,ENSMUSG00000046101.17,Mcmdc2,protein_coding,5916,0,0.0,0.0,0.0
114,ENSMUSG00000098234.8,Snhg6,lncRNA,1146,0,0.0,0.0,0.0
115,ENSMUSG00000093178.3,Snord87,snoRNA,87,0,0.0,0.0,0.0
116,ENSMUSG00000099032.3,Tcf24,protein_coding,4193,0,0.0,0.0,0.0
117,ENSMUSG00000104025.2,E330040D14Rik,TEC,1374,0,0.0,0.0,0.0
118,ENSMUSG00000025916.11,Ppp1r42,protein_coding,1523,0,0.0,0.0,0.0
119,ENSMUSG00000087199.2,Gm15818,lncRNA,656,0,0.0,0.0,0.0
120,ENSMUSG00000119658.1,U6,snRNA,104,0,0.0,0.0,0.0
121,ENSMUSG00000025917.10,Cops5,protein_coding,3766,4,1.0621348911311737,26.018449064009747,4.755872957120135
122,ENSMUSG00000056763.17,Cspp1,protein_coding,17553,2,0.11394063692816042,2.791131976729354,1.9226286804227688
123,ENSMUSG00000102356.2,1700047N06Rik,TEC,920,0,0.0,0.0,0.0
124,ENSMUSG00000067851.12,Arfgef1,protein_coding,11318,23,2.032161159215409,49.78057123666718,5.666204719011646
125,ENSMUSG00002076532.1,7SK,misc_RNA,240,0,0.0,0.0,0.0
126,ENSMUSG00000102556.2,Gm37569,TEC,1722,0,0.0,0.0,0.0
127,ENSMUSG00000042501.13,Cpa6,protein_coding,6840,0,0.0,0.0,0.0
128,ENSMUSG00000103810.2,Gm38005,TEC,2745,0,0.0,0.0,0.0
129,ENSMUSG00000083422.2,Gm15604,processed_pseudogene,1456,2,1.3736263736263736,33.6488596068203,5.114735964806576
130,ENSMUSG00000119312.1,U6,snRNA,107,0,0.0,0.0,0.0
131,ENSMUSG00000081417.2,Gm15603,processed_pseudogene,492,1,2.032520325203252,49.78936949952272,5.666454659301655
132,ENSMUSG00000103448.2,Gm37133,TEC,1922,0,0.0,0.0,0.0
133,ENSMUSG00000100212.2,Gm5522,processed_pseudogene,1242,0,0.0,0.0,0.0
134,ENSMUSG00000100648.2,Gm28659,processed_pseudogene,759,8,10.540184453227932,258.1962560607661,8.017901069256615
135,ENSMUSG00002076499.1,SNORA66,snoRNA,91,0,0.0,0.0,0.0
136,ENSMUSG00000048960.14,Prex2,protein_coding,16609,4,0.24083328315973265,5.89954116292737,2.786500422183582
137,ENSMUSG00000077318.3,Gm24173,snoRNA,128,0,0.0,0.0,0.0
138,ENSMUSG00000101827.2,Gm28686,processed_pseudogene,609,0,0.0,0.0,0.0
139,ENSMUSG00000103494.2,Gm37410,TEC,3039,0,0.0,0.0,0.0
140,ENSMUSG00000057715.14,A830018L16Rik,protein_coding,9183,0,0.0,0.0,0.0
141,ENSMUSG00000103825.2,Gm38178,TEC,2471,0,0.0,0.0,0.0
142,ENSMUSG00000099845.2,Gm29273,processed_pseudogene,262,0,0.0,0.0,0.0
143,ENSMUSG00000103561.2,Gm38069,TEC,2144,0,0.0,0.0,0.0
144,ENSMUSG00000101610.2,Gm7560,processed_pseudogene,873,0,0.0,0.0,0.0
145,ENSMUSG00000118923.1,U6,snRNA,107,0,0.0,0.0,0.0
146,ENSMUSG00000098555.3,Mir6341,miRNA,121,0,0.0,0.0,0.0
147,ENSMUSG00000097628.2,Gm2383,processed_pseudogene,807,1,1.2391573729863692,30.354857241344703,4.970617045895485
148,ENSMUSG00000098163.2,Gm6216,processed_pseudogene,687,0,0.0,0.0,0.0
149,ENSMUSG00000097171.2,Gm17644,lncRNA,3200,0,0.0,0.0,0.0
150,ENSMUSG00000101314.2,Gm29663,lncRNA,853,0,0.0,0.0,0.0
151,ENSMUSG00000016918.16,Sulf1,protein_coding,11294,1,0.08854258898530193,2.1689720022813157,1.664014913633579
152,ENSMUSG00000025938.17,Slco5a1,protein_coding,13137,0,0.0,0.0,0.0
153,ENSMUSG00000104518.2,Gm37162,TEC,551,0,0.0,0.0,0.0
154,ENSMUSG00000069620.7,Gm5250,processed_pseudogene,321,0,0.0,0.0,0.0
155,ENSMUSG00000099498.2,Gm29283,lncRNA,288,0,0.0,0.0,0.0
156,ENSMUSG00000042414.8,Prdm14,protein_coding,2564,0,0.0,0.0,0.0
157,ENSMUSG00000005886.15,Ncoa2,protein_coding,15642,15,0.9589566551591868,23.490956840971595,4.614177234765496
158,ENSMUSG00000103506.2,Gm38376,TEC,2253,0,0.0,0.0,0.0
159,ENSMUSG00000103495.2,Gm37409,TEC,1626,0,0.0,0.0,0.0
160,ENSMUSG00002076346.1,ENSMUSG00002076346,miRNA,82,0,0.0,0.0,0.0
161,ENSMUSG00000102639.2,Gm38223,TEC,695,0,0.0,0.0,0.0
162,ENSMUSG00000104170.2,Gm37702,TEC,1872,0,0.0,0.0,0.0
163,ENSMUSG00000087782.3,Gm23169,snRNA,112,0,0.0,0.0,0.0
164,ENSMUSG00000103085.2,Gm38120,TEC,4642,0,0.0,0.0,0.0
165,ENSMUSG00000102664.2,Gm38380,TEC,2248,0,0.0,0.0,0.0
166,ENSMUSG00000101476.2,Gm29570,lncRNA,681,0,0.0,0.0,0.0
167,ENSMUSG00000101171.2,Gm7593,processed_pseudogene,644,0,0.0,0.0,0.0
168,ENSMUSG00000025935.11,Tram1,protein_coding,3162,26,8.222643896268185,201.42492556543158,7.661243136800942
169,ENSMUSG00000025937.7,Lactb2,protein_coding,4566,3,0.657030223390276,16.094855317848342,4.095490307474054
170,ENSMUSG00000102982.2,Gm38319,TEC,1266,0,0.0,0.0,0.0
171,ENSMUSG00000067813.4,Xkr9,protein_coding,1926,0,0.0,0.0,0.0
172,ENSMUSG00000077368.3,Gm26273,snoRNA,131,0,0.0,0.0,0.0
173,ENSMUSG00000097711.2,Gm5523,processed_pseudogene,997,1,1.0030090270812437,24.570080033866777,4.676384771082176
174,ENSMUSG00000102166.2,Gm36947,TEC,2249,0,0.0,0.0,0.0
175,ENSMUSG00002075174.1,7SK,misc_RNA,308,0,0.0,0.0,0.0
176,ENSMUSG00000104209.2,Gm37400,TEC,3605,0,0.0,0.0,0.0
177,ENSMUSG00000025932.15,Eya1,protein_coding,7808,5,0.6403688524590164,15.686712214245118,4.0606278231374695
178,ENSMUSG00002075819.1,ENSMUSG00002075819,miRNA,100,0,0.0,0.0,0.0
179,ENSMUSG00000102588.2,Gm37444,TEC,439,0,0.0,0.0,0.0
180,ENSMUSG00000054493.3,Gm9947,lncRNA,3566,0,0.0,0.0,0.0
181,ENSMUSG00000025930.7,Msc,protein_coding,2546,0,0.0,0.0,0.0
182,ENSMUSG00000103492.2,Gm37412,TEC,4321,0,0.0,0.0,0.0
183,ENSMUSG00000081201.2,Smt3h2-ps4,processed_pseudogene,288,0,0.0,0.0,0.0
184,ENSMUSG00000082193.2,Rpl5-ps1,processed_pseudogene,894,0,0.0,0.0,0.0
185,ENSMUSG00000032769.6,Trpa1,protein_coding,4263,0,0.0,0.0,0.0
186,ENSMUSG00000088159.3,Gm26345,snoRNA,120,0,0.0,0.0,0.0
187,ENSMUSG00000073737.4,Gm10566,processed_pseudogene,996,1,1.0040160642570282,24.59474878892086,4.6777759413121185
188,ENSMUSG00000092083.5,Kcnb2,protein_coding,15165,0,0.0,0.0,0.0
189,ENSMUSG00000102937.2,Gm38116,TEC,1533,0,0.0,0.0,0.0
190,ENSMUSG00000104149.2,Gm37138,TEC,2089,0,0.0,0.0,0.0
191,ENSMUSG00000088829.3,Gm25227,snoRNA,112,0,0.0,0.0,0.0
192,ENSMUSG00000077377.3,Gm25168,snoRNA,132,0,0.0,0.0,0.0
193,ENSMUSG00000101652.2,Gm6060,processed_pseudogene,251,1,3.9840637450199203,97.59509877994095,6.623444026058283
194,ENSMUSG00000100814.2,Gm28669,processed_pseudogene,100,0,0.0,0.0,0.0
195,ENSMUSG00000025925.15,Terf1,protein_coding,4608,5,1.0850694444444444,26.580262363026453,4.785564275743492
196,ENSMUSG00000104379.2,Gm37509,TEC,3169,0,0.0,0.0,0.0
197,ENSMUSG00000032719.5,Sbspon,protein_coding,2748,0,0.0,0.0,0.0
198,ENSMUSG00002076565.1,7SK,misc_RNA,303,0,0.0,0.0,0.0
199,ENSMUSG00000100652.2,Gm7634,processed_pseudogene,553,0,0.0,0.0,0.0
200,ENSMUSG00000067795.14,4930444P10Rik,protein_coding,2063,0,0.0,0.0,0.0
201,ENSMUSG00000043716.14,Rpl7,protein_coding,2687,16,5.95459620394492,145.86599058438512,7.198356542811385
202,ENSMUSG00000025921.8,Rdh10,protein_coding,4160,2,0.4807692307692307,11.777100862387105,3.675488619283692
203,ENSMUSG00000104165.2,Gm38249,TEC,2321,0,0.0,0.0,0.0
204,ENSMUSG00000100868.2,Gm28095,lncRNA,1515,0,0.0,0.0,0.0
205,ENSMUSG00000025920.20,Stau2,protein_coding,6747,1,0.148214021046391,3.6307054681732893,2.2112319986484286
206,ENSMUSG00000089982.8,Gm7568,lncRNA,1003,0,0.0,0.0,0.0
207,ENSMUSG00000025939.20,Ube2w,protein_coding,4930,3,0.6085192697768763,14.906513059086315,3.9915457053071988
208,ENSMUSG00000102457.2,Gm38342,TEC,2980,0,0.0,0.0,0.0
209,ENSMUSG00000079658.10,Eloc,protein_coding,3026,9,2.9742233972240584,72.85767618766907,6.206675966078783
210,ENSMUSG00000097744.2,D030040B21Rik,lncRNA,2788,0,0.0,0.0,0.0
211,ENSMUSG00000100959.2,Idi1-ps5,processed_pseudogene,683,0,0.0,0.0,0.0
212,ENSMUSG00000025940.7,Tmem70,protein_coding,1820,2,1.0989010989010988,26.919087685456237,4.8031798941293244
213,ENSMUSG00000025779.11,Ly96,protein_coding,1021,0,0.0,0.0,0.0
214,ENSMUSG00000100093.2,Gm29649,processed_pseudogene,419,0,0.0,0.0,0.0
215,ENSMUSG00000091020.4,Gm5828,processed_pseudogene,1860,0,0.0,0.0,0.0
216,ENSMUSG00000101640.2,Gm28376,lncRNA,176,0,0.0,0.0,0.0
217,ENSMUSG00000104133.2,4921511E07Rik,TEC,827,0,0.0,0.0,0.0
218,ENSMUSG00000042686.6,Jph1,protein_coding,4998,0,0.0,0.0,0.0
219,ENSMUSG00000100110.2,Gm28783,lncRNA,359,0,0.0,0.0,0.0
220,ENSMUSG00000025777.9,Gdap1,protein_coding,7731,0,0.0,0.0,0.0
221,ENSMUSG00000099899.2,Gm28784,lncRNA,1011,0,0.0,0.0,0.0
222,ENSMUSG00000100272.2,Gm28785,processed_pseudogene,379,0,0.0,0.0,0.0
223,ENSMUSG00000100398.2,Gm5251,processed_pseudogene,472,0,0.0,0.0,0.0
224,ENSMUSG00000101589.2,Rbm6-ps1,processed_pseudogene,2870,0,0.0,0.0,0.0
225,ENSMUSG00000102048.2,Gm6075,processed_pseudogene,486,1,2.05761316872428,50.4040530735909,5.683810211478498
226,ENSMUSG00000089534.3,Gm25166,snoRNA,111,0,0.0,0.0,0.0
227,ENSMUSG00000067780.4,Pi15,protein_coding,6923,0,0.0,0.0,0.0
228,ENSMUSG00000100053.2,Gm28154,lncRNA,4218,0,0.0,0.0,0.0
229,ENSMUSG00000085125.8,Gm16070,lncRNA,8345,0,0.0,0.0,0.0
230,ENSMUSG00000025776.14,Crispld1,protein_coding,4515,0,0.0,0.0,0.0
231,ENSMUSG00000099895.2,Gm28153,lncRNA,629,0,0.0,0.0,0.0
232,ENSMUSG00000100554.2,Gm7690,processed_pseudogene,1399,0,0.0,0.0,0.0
233,ENSMUSG00000099473.2,Gm18775,transcribed_unprocessed_pseudogene,586,0,0.0,0.0,0.0
234,ENSMUSG00000099591.2,Gm17969,processed_pseudogene,2557,0,0.0,0.0,0.0
235,ENSMUSG00000109887.2,Gm28756,lncRNA,2570,0,0.0,0.0,0.0
236,ENSMUSG00000102001.2,Gm28755,unprocessed_pseudogene,199,0,0.0,0.0,0.0
237,ENSMUSG00000101717.3,Gm45784,transcribed_unprocessed_pseudogene,142,0,0.0,0.0,0.0
238,ENSMUSG00000025774.15,Crisp4,protein_coding,2737,0,0.0,0.0,0.0
239,ENSMUSG00000070977.5,Defb44-ps,unprocessed_pseudogene,219,0,0.0,0.0,0.0
240,ENSMUSG00000073735.2,Defb18,protein_coding,258,0,0.0,0.0,0.0
241,ENSMUSG00000067773.7,Defb41,protein_coding,610,0,0.0,0.0,0.0
242,ENSMUSG00000101685.2,Gm17837,processed_pseudogene,985,0,0.0,0.0,0.0
243,ENSMUSG00000101306.2,Gm5252,processed_pseudogene,909,0,0.0,0.0,0.0
244,ENSMUSG00000088800.4,Gm24075,snoRNA,72,0,0.0,0.0,0.0
245,ENSMUSG00000101644.2,Gm28343,processed_pseudogene,112,0,0.0,0.0,0.0
246,ENSMUSG00000099433.2,Gm28344,processed_pseudogene,279,0,0.0,0.0,0.0
247,ENSMUSG00000089787.3,Gm15825,lncRNA,918,0,0.0,0.0,0.0
248,ENSMUSG00000042596.8,Tfap2d,protein_coding,1954,0,0.0,0.0,0.0
249,ENSMUSG00000100720.2,Gm10075,processed_pseudogene,545,0,0.0,0.0,0.0
250,ENSMUSG00000025927.14,Tfap2b,protein_coding,6338,0,0.0,0.0,0.0
251,ENSMUSG00000100538.2,Gm28340,lncRNA,202,0,0.0,0.0,0.0
252,ENSMUSG00000101117.2,Gm28341,processed_pseudogene,472,0,0.0,0.0,0.0
253,ENSMUSG00000100204.2,Gm4849,processed_pseudogene,2246,2,0.8904719501335708,21.813330181447174,4.511805154671023
254,ENSMUSG00002076883.1,SNORD29,snoRNA,65,0,0.0,0.0,0.0
255,ENSMUSG00000102597.2,Gm38382,TEC,2499,0,0.0,0.0,0.0
256,ENSMUSG00000043760.17,Pkhd1,protein_coding,14310,0,0.0,0.0,0.0
257,ENSMUSG00000104095.2,Gm37315,TEC,3479,0,0.0,0.0,0.0
258,ENSMUSG00000089914.3,4930486I03Rik,lncRNA,788,0,0.0,0.0,0.0
259,ENSMUSG00000090142.3,Gm15795,processed_pseudogene,553,0,0.0,0.0,0.0
260,ENSMUSG00000070175.3,Gm24162,snRNA,102,0,0.0,0.0,0.0
261,ENSMUSG00000099906.3,Gm28653,lncRNA,5551,0,0.0,0.0,0.0
262,ENSMUSG00000065559.3,Mir206,miRNA,73,0,0.0,0.0,0.0
263,ENSMUSG00000065480.3,Mir133b,miRNA,119,0,0.0,0.0,0.0
264,ENSMUSG00000025929.5,Il17a,protein_coding,1171,0,0.0,0.0,0.0
265,ENSMUSG00000041872.10,Il17f,protein_coding,2022,0,0.0,0.0,0.0
266,ENSMUSG00000041859.11,Mcm3,protein_coding,3752,44,11.727078891257996,287.2708611209136,8.171281204058312
267,ENSMUSG00000099714.2,Gm20587,processed_pseudogene,1186,0,0.0,0.0,0.0
268,ENSMUSG00000102121.2,Gm28065,lncRNA,833,0,0.0,0.0,0.0
269,ENSMUSG00000088858.3,Gm24723,snoRNA,132,0,0.0,0.0,0.0
270,ENSMUSG00000097934.2,6720483E21Rik,lncRNA,1120,0,0.0,0.0,0.0
271,ENSMUSG00000025931.16,Paqr8,protein_coding,5488,0,0.0,0.0,0.0
272,ENSMUSG00000077314.3,Gm24171,snoRNA,131,0,0.0,0.0,0.0
273,ENSMUSG00000100929.2,Gm28064,processed_pseudogene,858,0,0.0,0.0,0.0
274,ENSMUSG00000041809.6,Efhc1,protein_coding,2208,0,0.0,0.0,0.0
275,ENSMUSG00000041779.6,Tram2,protein_coding,6661,26,3.9033178201471252,95.61711674491738,6.5942068952885355
276,ENSMUSG00000099971.2,Gm28287,lncRNA,546,0,0.0,0.0,0.0
277,ENSMUSG00000100819.2,Gm2693,unprocessed_pseudogene,571,0,0.0,0.0,0.0
278,ENSMUSG00000025933.16,Tmem14a,protein_coding,1351,0,0.0,0.0,0.0
279,ENSMUSG00000102633.2,Gm38224,TEC,2100,0,0.0,0.0,0.0
280,ENSMUSG00000025934.16,Gsta3,protein_coding,4344,0,0.0,0.0,0.0
281,ENSMUSG00000099343.2,Gm28836,lncRNA,633,0,0.0,0.0,0.0
282,ENSMUSG00000096375.3,Gm7094,unprocessed_pseudogene,366,0,0.0,0.0,0.0
283,ENSMUSG00000025936.16,Gm4956,transcribed_unprocessed_pseudogene,1365,0,0.0,0.0,0.0
284,ENSMUSG00000093963.2,Gm21909,unprocessed_pseudogene,439,0,0.0,0.0,0.0
285,ENSMUSG00000067750.4,Khdc1a,protein_coding,1987,0,0.0,0.0,0.0
286,ENSMUSG00000086194.2,Gm16329,unprocessed_pseudogene,371,0,0.0,0.0,0.0
287,ENSMUSG00000094436.2,Gm16327,processed_pseudogene,228,0,0.0,0.0,0.0
288,ENSMUSG00000041722.8,Khdc1c,protein_coding,1946,0,0.0,0.0,0.0
289,ENSMUSG00000085507.2,Gm2709,unprocessed_pseudogene,350,0,0.0,0.0,0.0
290,ENSMUSG00000094926.2,Gm16533,processed_pseudogene,228,0,0.0,0.0,0.0
291,ENSMUSG00000085079.4,Khdc1b,protein_coding,2236,0,0.0,0.0,0.0
292,ENSMUSG00000085679.3,Gm16328,processed_pseudogene,196,0,0.0,0.0,0.0
293,ENSMUSG00000028033.17,Kcnq5,protein_coding,7689,0,0.0,0.0,0.0
294,ENSMUSG00000104138.2,Gm36949,TEC,2327,0,0.0,0.0,0.0
